INFO:     Started server process [15832]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
INFO:     Started server process [24192]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
INFO:     Started server process [23972]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-05-27 15:45:54 | INFO     | query_engine                   | SQL: SELECT financial_item, financial_category, year, value, units FROM financials WHERE company_id = 'SUN' AND is_active = TRUE ORDER BY year DESC, financial_item…
2026-05-27 15:45:57 | INFO     | query_engine                   | DuckDB views registered: financials, financials_latest, company_master, sector_mapping, audit_log
2026-05-27 15:45:57 | INFO     | query_engine                   | SQL: SELECT financial_item, financial_category, year, value, units FROM financials WHERE company_id = 'SUN' AND is_active = TRUE ORDER BY year DESC, financial_item…
2026-05-27 15:45:57 | INFO     | query_engine                   | SQL: SELECT financial_item, year, value, units FROM financials WHERE company_id = 'SUN'   AND financial_category = 'P&L Consolidated'   AND is_active = TRUE…
2026-05-27 15:45:57 | INFO     | cost_structure | Running cost structure analysis …
2026-05-27 15:45:58 | INFO     | cost_structure | Cost structure analysis complete.
2026-05-27 15:45:58 | INFO     | query_engine                   | DuckDB views registered: financials, financials_latest, company_master, sector_mapping, audit_log
2026-05-27 15:45:58 | INFO     | query_engine                   | SQL: SELECT financial_item, financial_category, year, value, units FROM financials WHERE company_id = 'SUN' AND is_active = TRUE ORDER BY year DESC, financial_item…
2026-05-27 15:46:06 | INFO     | query_engine                   | DuckDB views registered: financials, financials_latest, company_master, sector_mapping, audit_log
2026-05-27 15:46:06 | INFO     | query_engine                   | SQL: SELECT financial_item, financial_category, year, value, units FROM financials WHERE company_id = 'SUN' AND is_active = TRUE ORDER BY year DESC, financial_item…
2026-05-27 15:46:06 | INFO     | query_engine                   | SQL: SELECT financial_item, year, value, units FROM financials WHERE company_id = 'SUN'   AND financial_category = 'P&L Consolidated'   AND is_active = TRUE…
2026-05-27 15:46:06 | INFO     | cost_structure | Running cost structure analysis …
2026-05-27 15:46:06 | INFO     | cost_structure | Cost structure analysis complete.
2026-05-27 15:46:51 | INFO     | query_engine                   | DuckDB views registered: financials, financials_latest, company_master, sector_mapping, audit_log
2026-05-27 15:46:51 | INFO     | query_engine                   | SQL: SELECT financial_item, financial_category, year, value, units FROM financials WHERE company_id = 'SUN' AND is_active = TRUE ORDER BY year DESC, financial_item…
2026-05-27 15:46:52 | INFO     | query_engine                   | SQL: SELECT financial_item, year, value, units FROM financials WHERE company_id = 'SUN'   AND financial_category = 'P&L Consolidated'   AND is_active = TRUE…
2026-05-27 15:46:52 | INFO     | cost_structure | Running cost structure analysis …
2026-05-27 15:46:52 | INFO     | cost_structure | Cost structure analysis complete.
2026-05-27 15:47:25 | INFO     | query_engine                   | DuckDB views registered: financials, financials_latest, company_master, sector_mapping, audit_log
2026-05-27 15:47:26 | INFO     | query_engine                   | DuckDB views registered: financials, financials_latest, company_master, sector_mapping, audit_log
2026-05-27 15:47:26 | INFO     | query_engine                   | SQL: SELECT financial_item, year, value, units FROM financials WHERE company_id = 'SUN'   AND financial_category = 'P&L Consolidated'   AND is_active = TRUE…
2026-05-27 15:47:26 | INFO     | query_engine                   | SQL: SELECT financial_item, year, value, units FROM financials WHERE company_id = 'SUN'   AND financial_category = 'P&L Standalone'   AND is_active = TRUE…
2026-05-27 15:47:26 | INFO     | query_engine                   | SQL: SELECT financial_item, year, value, units FROM financials WHERE company_id = 'SUN'   AND financial_category = 'Altman Z'   AND financial_item IN ('Revenue from Operations','EBITDA','PAT','Total Assets…
2026-05-27 15:47:26 | INFO     | cost_structure | Running cost structure analysis …
2026-05-27 15:47:26 | INFO     | cost_structure | Cost structure analysis complete.
2026-05-27 15:47:26 | INFO     | cost_structure | Running cost structure analysis …
2026-05-27 15:47:27 | INFO     | cost_structure | Cost structure analysis complete.
2026-05-27 15:47:27 | INFO     | bankruptcy | Running bankruptcy/Altman Z analysis …
2026-05-27 15:47:27 | INFO     | query_engine                   | SQL: SELECT company_name, ticker FROM company_master WHERE company_id='SUN'…
2026-05-27 15:47:27 | INFO     | excel_writer | Writing Excel with live formulas …
2026-05-27 15:47:28 | INFO     | excel_writer | Output saved to: D:\Desktop\finintel\backend\output\Output_Analysis_SUN.xlsx
2026-05-27 15:51:15 | INFO     | query_engine                   | DuckDB views registered: financials, financials_latest, company_master, sector_mapping, audit_log
2026-05-27 15:51:15 | INFO     | query_engine                   | SQL: SELECT financial_item, financial_category, year, value, units FROM financials WHERE company_id = 'SUN' AND is_active = TRUE ORDER BY year DESC, financial_item…
2026-05-27 15:51:15 | INFO     | query_engine                   | SQL: SELECT financial_item, year, value, units FROM financials WHERE company_id = 'SUN'   AND financial_category = 'P&L Consolidated'   AND is_active = TRUE…
2026-05-27 15:51:15 | INFO     | cost_structure | Running cost structure analysis …
2026-05-27 15:51:16 | INFO     | cost_structure | Cost structure analysis complete.
